nrow,index,model,index
111,0.6648794,model6,precision
149,0.4610152,model6,precision
171,0.6162614,model6,precision
244,0.7575621,model6,precision
253,0.3001434,model6,precision
278,0.2585738,model6,precision
355,0.6310119,model6,precision
401,0.4841597,model6,precision
573,0.521762,model6,precision
790,0.3396467,model6,precision
111,0.3620026,model3,precision
149,0.3505703,model3,precision
171,0.3734001,model3,precision
243,0.2636955,model3,precision
253,0.3297282,model3,precision
278,0.5212829,model3,precision
355,0.3273581,model3,precision
401,0.7651423,model3,precision
573,0.1437218,model3,precision
790,0.3632154,model3,precision
910,0.5486556,model3,precision
1233,0.4140376,model3,precision
1369,0.3315544,model3,precision
1432,0.275423,model3,precision
111,0.4168067,model6,recall
149,0.5717067,model6,recall
171,0.386743,model6,recall
244,0.8056978,model6,recall
253,0.4270172,model6,recall
278,0.992704,model6,recall
355,0.5430071,model6,recall
401,0.7836944,model6,recall
573,0.4326426,model6,recall
790,0.4507957,model6,recall
111,0.4739496,model3,recall
149,0.2991564,model3,recall
171,0.3199809,model3,recall
243,0.1818182,model3,recall
253,0.2694923,model3,recall
278,0.2955438,model3,recall
355,0.1907395,model3,recall
401,0.243036,model3,recall
573,0.1743513,model3,recall
790,0.2394933,model3,recall
910,0.2550145,model3,recall
1233,0.1760615,model3,recall
1369,0.278207,model3,recall
1432,0.1622923,model3,recall
111,0.5123967,model6,f1
149,0.5104287,model6,f1
171,0.4752417,model6,f1
244,0.7808889,model6,f1
253,0.3525119,model6,f1
278,0.4102802,model6,f1
355,0.5837111,model6,f1
401,0.5985441,model6,f1
573,0.4730415,model6,f1
790,0.3874065,model6,f1
111,0.4104803,model3,f1
149,0.3228291,model3,f1
171,0.3446328,model3,f1
243,0.215233,model3,f1
253,0.2965827,model3,f1
278,0.3772206,model3,f1
355,0.2410361,model3,f1
401,0.3688973,model3,f1
573,0.1575618,model3,f1
790,0.2886558,model3,f1
910,0.3481904,model3,f1
1233,0.2470639,model3,accuracy
1369,0.3025471,model3,accuracy
1432,0.2042379,model3,accuracy
111,0.9226863,model6,accuracy
149,0.8467259,model6,accuracy
171,0.8767802,model6,accuracy
244,0.9039214,model6,accuracy
253,0.782891,model6,accuracy
278,0.3396878,model6,accuracy
355,0.7793109,model6,accuracy
401,0.6273067,model6,accuracy
573,0.9054724,model6,accuracy
790,0.929576,model6,accuracy
111,0.8673219,model3,accuracy
149,0.8245964,model3,accuracy
171,0.8244238,model3,accuracy
243,0.71826,model3,accuracy
253,0.8230755,model3,accuracy
278,0.7741994,model3,accuracy
355,0.6577385,model3,accuracy
401,0.7051995,model3,accuracy
573,0.8171628,model3,accuracy
790,0.9416919,model3,accuracy
910,0.8961883,model3,accuracy
1233,0.931123,model3,accuracy
1369,0.9686153,model3,accuracy
1432,0.9494923,model3,accuracy